"","Pair.Name","Ligand","Ligand.Name","Receptor","Receptor.Name","complex_pair","partner_a","partner_b","source","target","source_genesymbol","target_genesymbol","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","sources","references","curation_effort","n_references","n_resources","annotation_strategy","db","dup"
"11","ADAM23_ITGB3","ADAM23","ADAM metallopeptidase domain 23","ITGB3","integrin subunit beta 3",NA,"O75077","P05106","O75077","P05106","ADAM23","ITGB3",1,1,0,1,1,0,"EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","LRdb:10749942;connectomeDB2020:10749942",2,1,7,"LR","both","ITGB3_ADAM23"
"12","ADAM9_ITGA6","ADAM9","ADAM metallopeptidase domain 9","ITGA6","integrin subunit alpha 6",NA,"Q13443","P23229","Q13443","P23229","ADAM9","ITGA6",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:10825303;HPRD:15361064;LRdb:10825303;LRdb:15;connectomeDB2020:10825303;connectomeDB2020:15361064",6,3,9,"LR","both","ITGA6_ADAM9"
"13","ADAM9_ITGAV","ADAM9","ADAM metallopeptidase domain 9","ITGAV","integrin subunit alpha V",NA,"Q13443","P06756","Q13443","P06756","ADAM9","ITGAV",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:11162558;HPMR:11162558;HPRD:15361064;LRdb:11162558;LRdb:15;connectomeDB2020:11162558;connectomeDB2020:15361064",7,3,10,"LR","both","ITGAV_ADAM9"
"14","ADAM9_ITGB1","ADAM9","ADAM metallopeptidase domain 9","ITGB1","integrin subunit beta 1",NA,"Q13443","P05556","Q13443","P05556","ADAM9","ITGB1",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:10825303;LRdb:10825303;connectomeDB2020:10825303",3,1,8,"LR","both","ITGB1_ADAM9"
"15","ADAM9_ITGB5","ADAM9","ADAM metallopeptidase domain 9","ITGB5","integrin subunit beta 5",NA,"Q13443","P18084","Q13443","P18084","ADAM9","ITGB5",1,1,0,1,1,0,"CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:11162558;HPMR:11162558;LRdb:11162558;connectomeDB2020:11162558",4,1,9,"LR","both","ITGB5_ADAM9"
"16","ADCYAP1_ADCYAP1R1","ADCYAP1","adenylate cyclase activating polypeptide 1","ADCYAP1R1","ADCYAP receptor type I",NA,"P18509","P41586","P18509","P41586","ADCYAP1","ADCYAP1R1",1,1,0,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;IMEx_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Reactome_LRdb;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10100920;Baccin2019:10583729;Baccin2019:11931347;Baccin2019:16930633;Baccin2019:8253796;Baccin2019:8703026;CellChatDB:21350482;CellTalkDB:10100920;Cellinker:10100920;Cellinker:10583729;Cellinker:11931347;Cellinker:12488235;Cellinker:16930633;Cellinker:21350482;Cellinker:8253796;Cellinker:8703026;DIP:17470806;Guide2Pharma:10583729;Guide2Pharma:11931347;Guide2Pharma:16930633;HPMR:10100920;HPRD:10583729;HPRD:8253796;LRdb:10100920;LRdb:10583729;LRdb:11931347;LRdb:16930633;LRdb:8253796;LRdb:8703026;SIGNOR:8703026;connectomeDB2020:10100920;connectomeDB2020:10583729;connectomeDB2020:11931347;connectomeDB2020:16930633;connectomeDB2020:8253796;connectomeDB2020:8703026;scConnect:10583729;scConnect:11931347;scConnect:16930633",39,9,19,"LR","both","ADCYAP1R1_ADCYAP1"
"17","AMH_AMHR2","AMH","anti-Mullerian hormone","AMHR2","anti-Mullerian hormone receptor type 2",NA,"P03971","Q16671","P03971","Q16671","AMH","AMHR2",1,1,0,1,1,0,"Baccin2019;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:79972308889695;CellTalkDB:7997230;HPMR:7997230;HPRD:8889695;LRdb:7997230;LRdb:889;SIGNOR:8119126;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:8889695;connectomeDB2020:7997230;connectomeDB2020:8889695",13,8,14,"LR","both","AMHR2_AMH"
"18","ANGPT1_TEK","ANGPT1","angiopoietin 1","TEK","TEK receptor tyrosine kinase",NA,"Q15389","Q02763","Q15389","Q02763","ANGPT1","TEK",1,1,0,1,1,0,"Baccin2019;BioGRID;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;IntAct;LRdb;Lit-BM-17;ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Sparser_ProtMapper;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:12427764;Baccin2019:8980223;Baccin2019:8980224;Baccin2019:9723709;BioGRID:8980223;CellChatDB:20651738;CellTalkDB:8980223;Cellinker:12427764;Cellinker:20651738;Cellinker:28396397;Cellinker:8980223;Cellinker:8980224;Cellinker:9723709;HPMR:8980223;HPRD:12427764;HPRD:8980223;HPRD:8980224;HPRD:9723709;IntAct:20708158;IntAct:29106382;LRdb:12427764;LRdb:8980223;LRdb:8980224;LRdb:9723709;Lit-BM-17:12427764;Lit-BM-17:20708158;Lit-BM-17:8980223;Lit-BM-17:9204896;Lit-BM-17:9723709;ProtMapper:21858121;SIGNOR:9204896;SignaLink3:12427764;SignaLink3:18988627;SignaLink3:20937382;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:8980223;SignaLink3:8980224;SignaLink3:9204896;SignaLink3:9723709;connectomeDB2020:12427764;connectomeDB2020:8980223;connectomeDB2020:8980224;connectomeDB2020:9723709",44,14,23,"LR","both","TEK_ANGPT1"
"19","ANXA1_FPR1","ANXA1","annexin A1","FPR1","formyl peptide receptor 1",NA,"P04083","P21462","P04083","P21462","ANXA1","FPR1",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10882119;Baccin2019:12560218;CellChatDB:23230437;CellTalkDB:10882119;Cellinker:10882119;Cellinker:12560218;Cellinker:23230437;HPMR:10882119;HPRD:10882119;LRdb:10882119;LRdb:13;SIGNOR:15187149;connectomeDB2020:10882119;connectomeDB2020:12560218;scConnect:10882119;scConnect:12560218",16,5,16,"LR","both","FPR1_ANXA1"
"20","ANXA1_FPR2","ANXA1","annexin A1","FPR2","formyl peptide receptor 2",NA,"P04083","P25090","P04083","P25090","ANXA1","FPR2",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10882119;Baccin2019:12368905;Baccin2019:12560218;Baccin2019:16278303;CellChatDB:23230437;CellPhoneDB:22610094;CellTalkDB:22610094;Cellinker:10882119;Cellinker:12368905;Cellinker:12560218;Cellinker:16278303;Cellinker:22610094;Cellinker:23230437;Guide2Pharma:12368905;LRdb:10882119;LRdb:12368905;LRdb:12560218;LRdb:16278303;SIGNOR:15187149;connectomeDB2020:10882119;connectomeDB2020:12368905;connectomeDB2020:12560218;connectomeDB2020:16278303;scConnect:10882119;scConnect:12368905;scConnect:12560218;scConnect:16278303",27,7,13,"LR","both","FPR2_ANXA1"
"21","AREG_EGFR","AREG","amphiregulin","EGFR","epidermal growth factor receptor",NA,"P15514","P00533","P15514","P00533","AREG","EGFR",1,1,0,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;KEGG-MEDICUS;Kirouac2010;LRdb;ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SignaLink3;Sparser_ProtMapper;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:10085134;Baccin2019:2466334;CellTalkDB:2466334;HPRD:10085134;ICELLNET:2466334;LRdb:101;LRdb:2466334;ProtMapper:23762360;ProtMapper:29045902;SIGNOR:10085134;SIGNOR:10209155;SIGNOR:20513444;SignaLink3:10085134;SignaLink3:10209155;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:10085134;connectomeDB2020:2466334",18,9,21,"LR","both","EGFR_AREG"
"22","BDNF_NTRK2","BDNF","brain derived neurotrophic factor","NTRK2","neurotrophic receptor tyrosine kinase 2",NA,"P23560","Q16620","P23560","Q16620","BDNF","NTRK2",1,1,0,1,1,0,"AlzPathway;Baccin2019;BioGRID;CA1;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;DIP;DLRP_Cellinker;DLRP_talklr;EMBRACE;Fantom5_LRdb;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;ProtMapper;REACH_ProtMapper;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;SignaLink3;Sparser_ProtMapper;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","AlzPathway:9775403;Baccin2019:76445409312147;BioGRID:21651720;BioGRID:9312147;CA1:1645620;CA1:9648856;CellChatDB:27908981;CellTalkDB:7644540;Cellinker:27908981;Cellinker:7644540;Cellinker:9312147;DIP:9312147;HPMR:7644540;HPRD:9312147;LRdb:7644540;LRdb:931;Lit-BM-17:11855816;Lit-BM-17:21651720;Lit-BM-17:9312147;ProtMapper:21849472;ProtMapper:26740873;ProtMapper:26899129;ProtMapper:28679669;SIGNOR:7679912;SignaLink3:23331499;SignaLink3:9312147;connectomeDB2020:7644540;connectomeDB2020:9312147",28,16,23,"LR","both","NTRK2_BDNF"
"23","BMP2_BMPR1A","BMP2","bone morphogenetic protein 2","BMPR1A","bone morphogenetic protein receptor type 1A",NA,"P12643","P36894","P12643","P36894","BMP2","BMPR1A",1,1,0,1,1,0,"Baccin2019;BioGRID;CellCall;CellTalkDB;DIP;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;InnateDB;IntAct;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;UniProt_LRdb;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:10692589;Baccin2019:10881198;Baccin2019:11263668;Baccin2019:12700180;Baccin2019:15064755;BioGRID:10692589;BioGRID:11263668;CellTalkDB:15621726;DIP:10880444;DIP:10881198;DIP:11263668;DIP:16672363;DIP:25938661;HPMR:12700180;HPRD:10692589;HPRD:10881198;HPRD:11263668;HPRD:15064755;InnateDB:16672363;InnateDB:17483092;InnateDB:18937504;IntAct:10881198;IntAct:15064755;IntAct:16672363;IntAct:19804412;IntAct:20860622;IntAct:21054789;IntAct:25938661;LRdb:10692589;LRdb:10881198;LRdb:11263668;LRdb:12700180;LRdb:15064755;Lit-BM-17:10692589;Lit-BM-17:10712517;Lit-BM-17:10880444;Lit-BM-17:10881198;Lit-BM-17:11263668;Lit-BM-17:15064755;Lit-BM-17:19804412;Lit-BM-17:20860622;Lit-BM-17:21054789;SIGNOR:18937504;SIGNOR:26330344;connectomeDB2020:10692589;connectomeDB2020:10881198;connectomeDB2020:11263668;connectomeDB2020:12700180;connectomeDB2020:15064755",49,16,19,"LR","both","BMPR1A_BMP2"
"24","BMP2_BMPR1B","BMP2","bone morphogenetic protein 2","BMPR1B","bone morphogenetic protein receptor type 1B",NA,"P12643","O00238","P12643","O00238","BMP2","BMPR1B",1,1,0,1,1,0,"Baccin2019;CellCall;CellTalkDB;DLRP_talklr;EMBRACE;Fantom5_LRdb;Guide2Pharma;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Lit-BM-17;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;UniProt_LRdb;Wang;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:12700180;Baccin2019:15064755;Baccin2019:7811286;Baccin2019:9872992;HPMR:12700180;HPRD:15064755;HPRD:7811286;HPRD:9872992;LRdb:12700180;LRdb:15064755;LRdb:7811286;LRdb:9872992;Lit-BM-17:10712517;Lit-BM-17:19229295;connectomeDB2020:12700180;connectomeDB2020:15064755;connectomeDB2020:7811286;connectomeDB2020:9872992",18,6,15,"LR","both","BMPR1B_BMP2"
"25","CD48_CD244","CD48","CD48 molecule","CD244","CD244 molecule",NA,"P09326","Q9BZW8","P09326","Q9BZW8","CD48","CD244",1,1,0,1,1,0,"Baccin2019;CellCall;CellChatDB;CellPhoneDB;HPRD;ICELLNET;IntAct;LRdb;Wang;connectomeDB2020","Baccin2019:26794910;CellChatDB:26697006;CellPhoneDB:26697006;HPRD:11163399;HPRD:9834056;ICELLNET:26794910;IntAct:15153464;IntAct:16002700;IntAct:18296487;LRdb:15870174;connectomeDB2020:15870174",11,8,10,"LR","both","CD244_CD48"
"26","CD55_ADGRE5","CD55","CD55 molecule (Cromer blood group)","ADGRE5","adhesion G protein-coupled receptor E5",NA,"P08174","P48960","P08174","P48960","CD55","ADGRE5",1,1,0,1,1,0,"Baccin2019;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;Fantom5_LRdb;HPMR;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","Baccin2019:23447688;CellTalkDB:12417446;Cellinker:10540231;Cellinker:12417446;HPMR:12417446;HPRD:10540231;LRdb:11;LRdb:12417446;SIGNOR:12417446;connectomeDB2020:10540231;connectomeDB2020:12417446",11,4,13,"LR","both","ADGRE5_CD55"
"27","CD70_CD27","CD70","CD70 molecule","CD27","CD27 molecule",NA,"P32970","P26842","P32970","P26842","CD70","CD27",1,1,0,1,1,0,"Baccin2019;BioGRID;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DLRP_Cellinker;DLRP_talklr;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;ICELLNET;Kirouac2010;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;SPIKE;STRING_talklr;UniProt_LRdb;Wang;Wojtowicz2020;connectomeDB2020;iTALK;scConnect;talklr","Baccin2019:15723067;Baccin2019:7479974;Baccin2019:8120384;Baccin2019:8186199;Baccin2019:8580829;Baccin2019:9767422;Baccin2019:9862673;BioGRID:21917027;CellPhoneDB:26697006;CellTalkDB:8120384;Cellinker:15723067;Cellinker:7479974;Cellinker:8120384;Cellinker:8186199;Cellinker:8580829;Cellinker:9767422;Cellinker:9862673;HPMR:8120384;HPRD:15723067;HPRD:7479974;HPRD:8120384;HPRD:8186199;HPRD:8580829;HPRD:9767422;HPRD:9862673;ICELLNET:26697006;ICELLNET:8120384;LRdb:15723067;LRdb:7479974;LRdb:8120384;LRdb:8186199;LRdb:8580829;LRdb:9767422;LRdb:9862673;SIGNOR:12324477;SIGNOR:8120384;SPIKE:9862673;connectomeDB2020:15723067;connectomeDB2020:7479974;connectomeDB2020:8120384;connectomeDB2020:8186199;connectomeDB2020:8580829;connectomeDB2020:9767422;connectomeDB2020:9862673",44,10,21,"LR","both","CD27_CD70"
"28","CD80_CD274","CD80","CD80 molecule","CD274","CD274 molecule",NA,"P33681","Q9NZQ7","P33681","Q9NZQ7","CD80","CD274",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB;CellPhoneDB_Cellinker;Cellinker;IntAct;Lit-BM-17;Wojtowicz2020;connectomeDB2020","Baccin2019:24819296;CellChatDB:17629517;CellChatDB:18585785;Cellinker:17629517;Cellinker:18173375;Cellinker:18585785;Cellinker:31757674;IntAct:18585785;IntAct:20587542;IntAct:21982860;IntAct:23417675;IntAct:31000591;Lit-BM-17:21982860;connectomeDB2020:24819296",14,9,8,"LR","both","CD274_CD80"
"29","CD80_CD28","CD80","CD80 molecule","CD28","CD28 molecule",NA,"P33681","P10747","P33681","P10747","CD80","CD28",1,1,0,1,1,0,"BioGRID;CellChatDB;CellPhoneDB_Cellinker;Cellinker;DIP;HPRD;ICELLNET;KEGG-MEDICUS;LRdb;Lit-BM-17;NetPath;SPIKE;Wang;Wojtowicz2020;connectomeDB2020;iTALK","BioGRID:1847722;CellChatDB:23954143;Cellinker:21530327;Cellinker:23954143;DIP:1847722;DIP:2164219;DIP:7964482;HPRD:7545666;ICELLNET:7545666;LRdb:22437870;Lit-BM-17:1847722;Lit-BM-17:2164219;Lit-BM-17:21982860;Lit-BM-17:7545666;Lit-BM-17:7964482;NetPath:2164219;SPIKE:15610849;SPIKE:21487479;connectomeDB2020:7545666",19,10,15,"LR","both","CD28_CD80"
"30","CD80_CTLA4","CD80","CD80 molecule","CTLA4","cytotoxic T-lymphocyte associated protein 4",NA,"P33681","P16410","P33681","P16410","CD80","CTLA4",1,1,0,1,1,0,"BioGRID;CellChatDB;CellPhoneDB_Cellinker;Cellinker;HPRD;ICELLNET;InnateDB;IntAct;LRdb;Lit-BM-17;NetPath;Wang;Wojtowicz2020;connectomeDB2020;iTALK","BioGRID:11279502;CellChatDB:23954143;Cellinker:21530327;Cellinker:23954143;Cellinker:31757674;HPRD:7545666;ICELLNET:10583602;InnateDB:21422170;IntAct:11279502;IntAct:20587542;IntAct:21982860;LRdb:22437870;Lit-BM-17:11279502;Lit-BM-17:21982860;Lit-BM-17:7545666;NetPath:11279501;connectomeDB2020:17953528;connectomeDB2020:23954143",18,12,14,"LR","both","CTLA4_CD80"
"31","CD86_CD28","CD86","CD86 molecule","CD28","CD28 molecule",NA,"P42081","P10747","P42081","P10747","CD86","CD28",1,1,0,1,1,0,"Baccin2019;CellChatDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;DIP;HPRD;ICELLNET;KEGG-MEDICUS;LRdb;SPIKE;Wang;Wojtowicz2020;connectomeDB2020;iTALK","CellChatDB:23954143;CellTalkDB:23954143;Cellinker:21530327;Cellinker:23954143;DIP:21931534;HPRD:11021528;HPRD:7513726;ICELLNET:18205792;LRdb:22437870;SPIKE:11021528;SPIKE:21487479;connectomeDB2020:23954143",12,8,14,"LR","both","CD28_CD86"
"32","CD86_CTLA4","CD86","CD86 molecule","CTLA4","cytotoxic T-lymphocyte associated protein 4",NA,"P42081","P16410","P42081","P16410","CD86","CTLA4",1,1,0,1,1,0,"BioGRID;CellChatDB;CellPhoneDB_Cellinker;CellTalkDB;Cellinker;HPRD;ICELLNET;IntAct;LRdb;Lit-BM-17;Wang;Wojtowicz2020;connectomeDB2020;iTALK","BioGRID:11279501;CellChatDB:23954143;CellTalkDB:23954143;Cellinker:21530327;Cellinker:23223433;Cellinker:23954143;HPRD:11021528;HPRD:11162656;HPRD:11279501;HPRD:12071705;HPRD:12582153;HPRD:12606712;HPRD:7513726;HPRD:7694153;ICELLNET:10583602;ICELLNET:11976720;IntAct:11279501;IntAct:21982860;IntAct:25241761;LRdb:22437870;Lit-BM-17:11279501;Lit-BM-17:21982860;Lit-BM-17:25241761;connectomeDB2020:23954143",24,16,13,"LR","both","CTLA4_CD86"
