gene_symbol	gene_symbol	inDB	isLigand	isReceptor	sum_pseudobulkCellType_expr	sum_pseudobulkCellType_expr_threshold	sum_pseudobulkCellType_expr_filter	highly_variable	means	dispersions	dispersions_norm
ABCB9	ABCB9	False	False	False	12.3022982697086	3	True	False	0.033397216162979866	-3.104892315546011	0.107223436
ABCC1	ABCC1	False	False	False	12.4672283409563	3	True	False	0.014308152340710688	-4.9410754948989135	-1.3087484
ABCC10	ABCC10	False	False	False	8.70030626741797	3	True	False	0.013812154592394212	-4.322976721438143	-0.8321018
ABCC3	ABCC3	False	False	False	95.741085216337	3	True	True	0.13573690926308973	-0.7193261138898293	1.9468517
ABCC4	ABCC4	False	False	False	18.299304727954	3	True	False	0.018101383051115135	-3.2085960053916343	0.027252385
ABCC5	ABCC5	False	False	False	21.9852648059326	3	True	False	0.017318036490064154	-2.954599214143123	0.2231219
ABCC6	ABCC6	False	False	False	14.7121393349311	3	True	True	0.022605125300033335	-2.5639996539568233	0.5243326
ABCD1	ABCD1	False	False	False	9.33716325652886	3	True	False	0.0067374491701320365	-4.735902323945313	-1.1505291
ABCD3	ABCD3	False	False	False	38.4738457801556	3	True	True	0.052040850054400234	-2.3970874544261798	0.65304685
ABCD4	ABCD4	False	False	False	40.8692892679322	3	True	False	0.040695471134210744	-3.1996532145699903	0.034148615
ABCE1	ABCE1	False	False	False	52.9009419886201	3	True	False	0.07128633739558915	-3.1243481948876406	0.092220046
ABCF1	ABCF1	False	False	False	70.3089042225284	3	True	False	0.09666885616926067	-3.1226025721905666	0.09356618
ABCF2	ABCF2	False	False	False	37.5901410107386	3	True	False	0.05187376146300007	-3.362521342991011	-0.09144707
ABCF3	ABCF3	False	False	False	32.1760830609718	3	True	False	0.030567566780476434	-3.750173720994755	-0.39038503
ABCG1	ABCG1	False	False	False	36.6743825245071	3	True	True	0.04052859905091666	-1.9290193389097512	1.0139973
ABCG2	ABCG2	False	False	False	23.2547317516271	3	True	True	0.036328726062717344	-1.122681939693692	1.635804
ABHD10	ABHD10	False	False	False	18.9790195850827	3	True	False	0.023064976888757523	-4.271499778678075	-0.79240537
ABHD11	ABHD11	False	False	False	77.3596536716347	3	True	True	0.13766979605376403	-1.2325580522355029	1.5510732
ABHD12	ABHD12	False	False	False	93.0436283058167	3	True	True	0.11098940094304661	-2.305065322241425	0.72400963
ABHD13	ABHD13	False	False	False	41.6234505695975	3	True	False	0.03500396288651091	-4.355832503141672	-0.8574385
ABHD14A	ABHD14A	False	False	False	79.749256733998	3	True	False	0.11529974385065854	-2.735701201978799	0.391925
ABHD14B	ABHD14B	False	False	False	149.011821590797	3	True	True	0.18659801611263324	-2.2665394155600116	0.7537189
ABHD15	ABHD15	False	False	False	12.6279969209213	3	True	False	0.018290545312411047	-4.289263621676747	-0.80610394
ABHD16A	ABHD16A	False	False	False	6.55707055328946	3	True	False	0.005252129837490839	-5.5200402700332685	-1.7552168
ABHD17A	ABHD17A	False	False	False	68.1229225724027	3	True	False	0.07699831427338182	-3.3723148532628797	-0.09899933
ABHD17B	ABHD17B	False	False	False	22.6754919291749	3	True	False	0.021396659991359247	-4.231502769061056	-0.7615617
ABHD17C	ABHD17C	False	False	False	39.4433050554514	3	True	True	0.048130644414996857	-2.1242277895045016	0.86346245
ABHD2	ABHD2	False	False	False	58.5984973188229	3	True	True	0.0762064409499408	-2.086995927088696	0.89217377
ABHD3	ABHD3	False	False	False	98.4914372453948	3	True	True	0.13727679385735736	-1.6015352732952004	1.2665366
ABHD4	ABHD4	False	False	False	9.47549330761245	3	True	False	0.008428286346714126	-4.139027665747772	-0.69024956
ABHD5	ABHD5	False	False	False	51.0228658037407	3	True	False	0.05206824298600351	-3.4975024691695675	-0.1955377
ABHD6	ABHD6	False	False	False	16.7101881771786	3	True	False	0.01116463517741158	-3.9801652705352693	-0.5677429
ABHD8	ABHD8	False	False	False	16.3822223293156	3	True	False	0.01607610474908276	-4.478091844808899	-0.95171875
ABI1	ABI1	False	False	False	100.590571461879	3	True	False	0.10690979140449085	-3.8694969496441813	-0.48240107
ABI2	ABI2	False	False	False	37.1499696522965	3	True	False	0.04228964209376275	-3.8957123308442205	-0.50261706
ABI3	ABI3	False	False	False	178.843872677291	3	True	True	0.06575703737303998	-1.4341662120317789	1.3956031
ABI3BP	ABI3BP	False	False	False	12.6621858790637	3	True	False	0.01195063470957013	-2.116185330654243	0.8696644
ABL1	ABL1	False	False	False	22.436865832776	3	True	False	0.01899165556017446	-3.592362648589823	-0.2686891
ABL2	ABL2	False	False	False	44.7503375786874	3	True	True	0.044050276756398485	-2.538415612148717	0.5440617
ABLIM1	ABLIM1	False	False	False	62.2534823908579	3	True	True	0.07840699298242162	-1.7146304449494827	1.1793232
ABLIM2	ABLIM2	False	False	False	4.64451651695092	3	True	False	0.0020512384540069127	-3.6018846439077317	-0.27603197
ABLIM3	ABLIM3	False	False	False	6.13823677172931	3	True	False	0.004204343952006329	-4.110176936078107	-0.66800135
ABR	ABR	False	False	False	58.2333893033049	3	True	True	0.05777308618190022	-2.193844026042544	0.8097779
ABRACL	ABRACL	False	False	False	358.630268353224	3	True	False	0.39381759861175203	-1.2593068870346575	-0.5680164
ABT1	ABT1	False	False	False	95.3711668665199	3	True	False	0.09490326714497349	-3.040654657583041	0.15676028
ABTB1	ABTB1	False	False	False	51.1381874882739	3	True	False	0.04523371850228621	-4.385413739760497	-0.8802501
ABTB2	ABTB2	False	False	False	3.29492402315625	3	True	False	0.002923466294849051	-2.9090845136547383	0.25822052
AC002117.1	AC002117.1	False	False	False	3.54461832721988	3	True	False	0.001879575905297043	-4.429062867673178	-0.9139101
AC002310.12	AC002310.12	False	False	False	7.09887915587057	3	True	False	0.005432002721561168	-4.4396029236642685	-0.922038
AC002467.7	AC002467.7	False	False	False	9.38764184655913	3	True	False	0.011706497307845981	-4.440939784645324	-0.92306894
AC003075.4	AC003075.4	False	False	False	14.9739752992313	3	True	False	0.01591217507613346	-4.323122360374614	-0.8322141
AC004069.2	AC004069.2	False	False	False	9.08163395182681	3	True	False	0.006310301676658831	-5.339347090969015	-1.6158754
AC004257.3	AC004257.3	False	False	False	3.7938225338808	3	True	False	0.00693626434696472	-5.66773028805243	-1.869108
AC004381.6	AC004381.6	False	False	False	3.36453447159429	3	True	False	0.002286593187057008	-3.506234593064735	-0.20227148
AC004540.5	AC004540.5	False	False	False	3.79947377530733	3	True	False	0.0031471321748837585	-4.525779174365882	-0.98849285
AC004791.2	AC004791.2	False	False	False	11.3143437794238	3	True	False	0.002332019781699511	-2.3126131364584754	0.7181892
AC004951.6	AC004951.6	False	False	False	27.5083833511156	3	True	False	0.03356351096841881	-3.54093870465484	-0.22903353
AC005076.5	AC005076.5	False	False	False	5.97603487746531	3	True	False	0.005495974269605458	-5.022252217725674	-1.3713478
AC005083.1	AC005083.1	False	False	False	11.7170063241216	3	True	False	0.013906473865198313	-4.196642327656184	-0.7346791
AC005154.6	AC005154.6	False	False	False	22.8593456710481	3	True	False	0.023551204393382704	-4.446810407542891	-0.9275961
AC005355.2	AC005355.2	False	False	False	9.66990694538302	3	True	False	0.01720282333051249	-2.8258012413155758	0.32244438
AC005540.3	AC005540.3	False	False	False	8.93316038410487	3	True	False	0.0034638815978392163	-3.1614737530925328	0.06359069
AC005562.1	AC005562.1	False	False	False	15.8391091388685	3	True	False	0.019795761397548822	-4.67214953096396	-1.1013663
AC006129.2	AC006129.2	False	False	False	12.0090754372888	3	True	False	0.018451064895629532	-3.7118681204040125	-0.36084569
AC006129.4	AC006129.4	False	False	False	17.8909203833649	3	True	False	0.026209898478299423	-2.6902797457659733	0.42695174
AC006132.1	AC006132.1	False	False	False	5.91920065709919	3	True	False	0.004861714973722406	-4.198617170954663	-0.736202
AC007228.9	AC007228.9	False	False	False	7.58068152480144	3	True	False	0.006618707801157828	-4.716421303252962	-1.1355064
AC007246.3	AC007246.3	False	False	False	21.6966024661472	3	True	False	0.033200241607525806	-3.4044939512096564	-0.123814225
AC007390.5	AC007390.5	False	False	False	62.4812720279226	3	True	False	0.07032762261845697	-3.430136795900417	-0.14358869
AC008982.2	AC008982.2	False	False	False	5.76403218818224	3	True	False	0.008044391019678103	-5.363259916864067	-1.6343157
AC009005.2	AC009005.2	False	False	False	7.63618731554292	3	True	False	0.007990062184632227	-3.846508911912034	-0.46467388
AC009014.3	AC009014.3	False	False	False	9.09802148087296	3	True	False	0.015795360534638613	-2.9104312758970634	0.25718197
AC009133.12	AC009133.12	False	False	False	11.5638862772944	3	True	False	0.01631278752631942	-2.836521017598619	0.31417784
AC009133.14	AC009133.14	False	False	False	15.1112151819371	3	True	True	0.016777832943903618	-1.873591136925519	1.0567408
AC009133.21	AC009133.21	False	False	False	8.56128497155712	3	True	False	0.004242766244638698	-2.056328647870498	0.91582286
AC009336.24	AC009336.24	False	False	False	9.39757137154829	3	True	False	0.01112195422478606	-3.238767541768795	0.0039856182
AC009403.2	AC009403.2	False	False	False	19.0643919478292	3	True	False	0.025456351534937288	-4.725911347357667	-1.1428246
AC009404.2	AC009404.2	False	False	False	18.3882778668492	3	True	True	0.06484602077879928	-2.0503487885399174	0.9204342
AC009501.4	AC009501.4	False	False	False	782.073759027807	3	True	True	0.2793960986885832	0.39730521428530935	2.8079414
AC009506.1	AC009506.1	False	False	False	9.59971480985989	3	True	False	0.006940780409603857	-4.600653790194476	-1.0462323
AC009948.5	AC009948.5	False	False	False	6.3380654822647	3	True	False	0.0031099876443438598	-4.204553039722384	-0.74077946
AC009961.3	AC009961.3	False	False	False	4.42274996540922	3	True	False	0.006338391858091493	-6.567059529050671	-2.5626252
AC010226.4	AC010226.4	False	False	False	10.9403500315302	3	True	False	0.022759393121921413	-4.268840013082578	-0.7903543
AC010761.8	AC010761.8	False	False	False	3.19416205588456	3	True	False	0.0007813374819867002	-4.616899628207988	-1.0587603
AC011043.1	AC011043.1	False	False	False	7.69849676473312	3	True	False	0.0045716258523877396	-3.707278834877805	-0.35730666
AC011523.2	AC011523.2	False	False	False	5.19222144885274	3	True	False	-0.0002173699004476076		0.0
AC011526.1	AC011526.1	False	False	False	83.2443744833946	3	True	True	0.02684351822867568	-0.05127185267346097	2.4620216
AC011747.4	AC011747.4	False	False	False	3.99116430491486	3	True	False	0.004867103701888058	-4.478248980728229	-0.9518399
AC012146.7	AC012146.7	False	False	False	26.4025105281009	3	True	False	0.050959978813419474	-3.380403472935263	-0.105236866
AC012307.3	AC012307.3	False	False	False	3.3637360727622	3	True	False	0.003731335958963006	-5.370038179782901	-1.6395428
AC013264.2	AC013264.2	False	False	False	3.78749016868307	3	True	False	0.004926809466302387	-4.053051250503157	-0.6239489
AC013394.2	AC013394.2	False	False	False	86.5897641112586	3	True	False	0.11827966820310983	-3.601671433088021	-0.27586755
AC013449.1	AC013449.1	False	False	False	4.09508045181997	3	True	False	0.004952697540201513	-4.86525426768043	-1.2502788
AC016586.1	AC016586.1	False	False	False	6.95566122777264	3	True	False	0.00782095181894326	-3.9034008580902824	-0.50854605
AC016629.8	AC016629.8	False	False	False	13.0402086326977	3	True	False	0.029973043749848494	-3.7977966499505946	-0.42710942
AC016683.6	AC016683.6	False	False	False	19.6501668662853	3	True	False	0.03952726166502276	-2.622974889250259	0.47885385
AC016747.3	AC016747.3	False	False	False	12.4228691036715	3	True	False	0.005022111120444648	-4.23989185298732	-0.76803094
AC016831.7	AC016831.7	False	False	False	26.1910572510079	3	True	False	0.034049443943994374	-3.6590694080124817	-0.32012996
AC017002.1	AC017002.1	False	False	False	32.3819945026256	3	True	True	0.01974624258693859	-2.087262372067269	0.8919683
AC017048.3	AC017048.3	False	False	False	30.9128233111388	3	True	False	0.014929228126911902	-2.8913447088855584	0.27190056
AC018737.1	AC018737.1	False	False	False	17.9766220126311	3	True	False	0.023974926070276438	-5.557257888803123	-1.7839172
AC018816.3	AC018816.3	False	False	False	9.71963350833518	3	True	False	0.0037749897731101587	-4.546934170324994	-1.0048065
AC020571.3	AC020571.3	False	False	False	44.9540891113711	3	True	True	0.023726183053007745	-1.4524838662087851	1.3814775
AC021016.6	AC021016.6	False	False	False	3.05390138022855	3	True	False	0.0026617662513203732	-5.069347302250818	-1.4076651
AC022182.3	AC022182.3	False	False	False	8.11065907706332	3	True	False	0.008442922744239413	-4.840623768990665	-1.2312851
AC023590.1	AC023590.1	False	False	False	11.6007178562339	3	True	False	0.021134547636944525	-2.6434777444447284	0.46304306
AC025335.1	AC025335.1	False	False	False	3.34749342206814	3	True	False	0.0032994194563573014	-4.6051152829979785	-1.0496728
AC026202.3	AC026202.3	False	False	False	6.64541980196021	3	True	False	0.028143377867670606	-2.79543998209121	0.34585747
AC026806.2	AC026806.2	False	False	False	12.3099396968439	3	True	False	0.02111298634879128	-3.8891306973990742	-0.49754164
AC027307.3	AC027307.3	False	False	False	4.46527340513097	3	True	False	0.007961022146822717	-5.965747473732372	-2.0989237
AC027763.2	AC027763.2	False	False	False	16.0932571345253	3	True	False	0.019579107017420078	-5.079671913406673	-1.415627
AC034220.3	AC034220.3	False	False	False	4.1083655789388	3	True	False	0.007616966853854065	-4.23783428702661	-0.76644427
AC061992.2	AC061992.2	False	False	False	3.41921842192751	3	True	False	0.0012320030476781442	-3.1631455423212413	0.06230149
AC062017.1	AC062017.1	False	False	False	6.19172444653753	3	True	False	0.003615590653097409	-4.651680660516602	-1.0855817
AC062029.1	AC062029.1	False	False	False	3.80465599211304	3	True	False	0.005451460823304878	-5.426600416430936	-1.6831607
AC066593.1	AC066593.1	False	False	False	3.84228599493547	3	True	False	0.004760541090717109	-3.910655549245254	-0.5141405
AC069513.4	AC069513.4	False	False	False	3.58432921762543	3	True	False	0.0017677971731710012	-4.3793049051110176	-0.87553924
AC073283.4	AC073283.4	False	False	False	4.3787228378869	3	True	False	0.009498623014926325	-3.89572261114658	-0.502625
AC074138.3	AC074138.3	False	False	False	5.26380155938361	3	True	False	0.012966703850321094	-5.636073777001563	-1.844696
AC074183.4	AC074183.4	False	False	False	5.07069552918767	3	True	False	0.007336425333594334	-5.732020712952071	-1.9186854
AC074212.5	AC074212.5	False	False	False	10.3052950901433	3	True	False	0.01350101089023367	-3.705137627566891	-0.35565546
AC074289.1	AC074289.1	False	False	False	4.19157878431577	3	True	False	0.0033739753342056683	-3.963433543820588	-0.55484027
AC074389.9	AC074389.9	False	False	False	5.22249399368854	3	True	False	0.017675593745192522	-3.2132426346163596	0.023669139
AC078883.3	AC078883.3	False	False	False	7.62382339462738	3	True	False	0.02598720424759309	-2.9006492758480316	0.26472536
AC079210.1	AC079210.1	False	False	False	9.82542713493616	3	True	False	0.014225294952234567	-5.028803894531254	-1.3764001
AC079305.10	AC079305.10	False	False	False	4.70226286642911	3	True	False	0.0026778815142731167	-4.91698291493798	-1.2901694
AC079602.1	AC079602.1	False	False	False	9.86784403278542	3	True	True	0.02271333608852691	-2.288543564987636	0.7367504
AC079767.4	AC079767.4	False	False	False	10.8784748755571	3	True	True	0.031784277229640875	-0.6194872592513645	2.0238423
AC079922.3	AC079922.3	False	False	False	7.15906629220607	3	True	False	0.010995084560578268	-3.9577721210783685	-0.55047446
AC084018.1	AC084018.1	False	False	False	16.2507602314825	3	True	False	0.01866048346820264	-4.035005843827034	-0.6100332
AC090186.1	AC090186.1	False	False	False	7.68257689985295	3	True	False	0.019861144813530452	-4.968237380249067	-1.3296943
AC090587.2	AC090587.2	False	False	False	4.13389945868443	3	True	False	0.007894481193380142	-4.717678867623097	-1.1364762
AC091729.9	AC091729.9	False	False	False	6.17809772496609	3	True	False	0.007118398805168175	-5.290440528764479	-1.5781611
AC092295.7	AC092295.7	False	False	False	6.88293442123946	3	True	False	0.0055766139661779695	-5.546267252915168	-1.7754418
AC092580.4	AC092580.4	False	False	False	55.055525047501	3	True	True	0.05086374734423742	-1.1416166706995932	1.6212026
AC092620.2	AC092620.2	False	False	False	3.09383482273001	3	True	False	0.0022492133429650027	-4.639756801216316	-1.0763866
AC093323.3	AC093323.3	False	False	False	14.5156577376987	3	True	False	0.021459706913955517	-4.004013953874208	-0.5861338
AC093415.2	AC093415.2	False	False	False	5.60409666522272	3	True	False	0.011097918143555801	-4.0494676808634855	-0.6211854
AC093627.10	AC093627.10	False	False	False	3.62474989035145	3	True	False	0.005322517639264842	-4.659057298392907	-1.0912702
AC093673.5	AC093673.5	False	False	False	18.0157181584894	3	True	False	0.00986252578105543	-4.285288345390127	-0.8030384
AC093818.1	AC093818.1	False	False	False	17.6338487228982	3	True	False	0.036583872164906564	-2.661414364687122	0.44921127
AC096579.13	AC096579.13	False	False	False	3.47184056838437	3	True	False	0.006314543425934738	-3.572661344713896	-0.25349644
AC096579.7	AC096579.7	False	False	False	2086.10240308138	3	True	True	0.33957278728493423	0.5583183090522871	1.1431516
AC096772.6	AC096772.6	False	False	False	3.15970605291456	3	True	False	0.002916849004705232	-5.64060075015435	-1.848187
AC097500.2	AC097500.2	False	False	False	8.38125666518922	3	True	False	0.013084838901367527	-4.26148551809892	-0.78468287
AC104024.1	AC104024.1	False	False	False	15.3699258349302	3	True	True	0.05913946776914519	-1.770415487189605	1.1363046
AC104532.4	AC104532.4	False	False	False	4.17148584227494	3	True	False	0.003914215636517468	-4.834887714577588	-1.2268617
AC104699.1	AC104699.1	False	False	False	17.2197081264327	3	True	True	0.04405690696322569	-2.4532888766528087	0.6097071
AC104820.2	AC104820.2	False	False	False	5.69828331251551	3	True	False	0.014928843649635046	-4.717267026143622	-1.1361586
AC106876.2	AC106876.2	False	False	False	14.248460803753	3	True	True	0.030544820321995136	-2.3606446767002387	0.68114966
AC108488.3	AC108488.3	False	False	False	17.5249552668884	3	True	False	0.01741152134953749	-4.256982380843426	-0.7812103
AC108488.4	AC108488.4	False	False	False	3.09525688974959	3	True	False	-0.0003995743389487738		0.0
AC109826.1	AC109826.1	False	False	False	6.20320259365724	3	True	False	0.0037315616741536114	-2.87214738054322	0.2867046
AC112229.7	AC112229.7	False	False	False	10.4357774081184	3	True	False	0.015184283006951068	-2.7647307706732263	0.36953887
AC113189.5	AC113189.5	False	False	False	14.4473239991656	3	True	False	0.01690557707002841	-5.088626754006984	-1.4225324
AC115618.1	AC115618.1	False	False	False	6.27136503099267	3	True	False	0.01085901433029229	-5.244069048415716	-1.5424017
AC116035.1	AC116035.1	False	False	False	6.95996630821869	3	True	False	0.0007193293589257538	-1.8590242578315166	1.067974
AC116366.6	AC116366.6	False	False	False	3.29663293423936	3	True	False	0.012389225276324087	-4.83203076987741	-1.2246586
AC124789.1	AC124789.1	False	False	False	5.48233085097314	3	True	False	0.00707736154669346	-3.349112177028206	-0.081106596
AC127904.2	AC127904.2	False	False	False	3.72147779639765	3	True	False	0.004715697435811214	-4.3853610488150085	-0.88020945
AC131025.8	AC131025.8	False	False	False	4.51706095369039	3	True	False	0.0026113113519752834	-2.255167101851741	0.76248866
AC132872.2	AC132872.2	False	False	False	4.57556001999117	3	True	False	0.005572730815673865	-5.13172804624311	-1.45577
AC135048.13	AC135048.13	False	False	False	6.18669362379706	3	True	False	0.0010461144015661268	-4.173547841251116	-0.7168698
AC137934.1	AC137934.1	False	False	False	3.76041798095939	3	True	False	0.0018290003340895311	-4.686201476416511	-1.1122024
AC139100.2	AC139100.2	False	False	False	4.17119712184782	3	True	False	0.0031635276608165492	-4.250984043332095	-0.7765847
AC142528.1	AC142528.1	False	False	False	3.35303440409751	3	True	False	0.006825063885221076	-5.823801777312224	-1.9894624
AC144521.1	AC144521.1	False	False	False	5.589750430118	3	True	False	0.004133435648802961	-3.1487433814841808	0.07340771
AC145212.1	AC145212.1	False	False	False	12.5570863871526	3	True	False	0.009905480714411075	-4.579682478516306	-1.0300603
AC147651.3	AC147651.3	False	False	False	3.88925143969243	3	True	False	0.004043303247500917	-3.5388857764863557	-0.22745042
AC147651.4	AC147651.4	False	False	False	7.89396108216155	3	True	False	0.0068023433286695115	-4.875643075384595	-1.2582902
AC159540.1	AC159540.1	False	False	False	18.8072183365356	3	True	False	0.025334220006032054	-3.974042349644453	-0.56302124
ACAA1	ACAA1	False	False	False	154.767488021411	3	True	True	0.2336041248099274	-0.5768700377358444	2.0567067
ACAA2	ACAA2	False	False	False	255.324918406018	3	True	True	0.2896220431087235	0.20854210414600682	2.6623769
ACACA	ACACA	False	False	False	13.9647297458726	3	True	False	0.01732421278222067	-2.8934145506482585	0.2703044
ACACB	ACACB	False	False	False	14.5125999035351	3	True	False	0.013846184545406271	-4.12466983092302	-0.6791775
ACAD10	ACAD10	False	False	False	12.5126342363193	3	True	False	0.01639830035020007	-4.049906432557188	-0.6215238
ACAD8	ACAD8	False	False	False	25.7996897178756	3	True	False	0.030365340868012458	-3.8818047752016724	-0.49189225
ACAD9	ACAD9	False	False	False	24.9380971466432	3	True	False	0.030251312253714954	-3.4682394603173186	-0.17297155
ACADM	ACADM	False	False	False	101.693225466924	3	True	False	0.1192467381637145	-3.0381904851051686	0.15866053
ACADS	ACADS	False	False	False	122.986970149244	3	True	True	0.16064766648295017	-0.8467306013853282	1.8486038
ACADSB	ACADSB	False	False	False	17.8656545622615	3	True	False	0.013348047895588527	-3.534432160736877	-0.22401603
ACADVL	ACADVL	False	False	False	376.974884077055	3	True	False	0.47937749691292525	-0.7274071905699099	-0.067269735
ACAP1	ACAP1	False	False	False	124.6528388417	3	True	True	0.15536631507423967	-1.6239917178587389	1.2492193
ACAP2	ACAP2	False	False	False	72.0374723089533	3	True	False	0.08193653822484692	-3.880060356931284	-0.49054703
ACAP3	ACAP3	False	False	False	20.8123422129342	3	True	False	0.03473808848565102	-3.9158875669008664	-0.5181752
ACAT1	ACAT1	False	False	False	156.800644609742	3	True	True	0.16341663460984046	-1.7494489281616117	1.152473
ACAT2	ACAT2	False	False	False	87.1389573416285	3	True	True	0.13558715486587866	-1.1617605575262393	1.6056687
ACBD3	ACBD3	False	False	False	56.2950215598301	3	True	False	0.08718218601390865	-3.235748490837879	0.006313758
ACBD4	ACBD4	False	False	False	14.7279981355493	3	True	False	0.01943581325854129	-4.995810796991681	-1.3509575
ACBD5	ACBD5	False	False	False	30.9866879096012	3	True	False	0.04139016598862415	-3.5899798229586524	-0.26685157
ACBD6	ACBD6	False	False	False	49.8998568625245	3	True	False	0.05980668798286567	-3.548621297850766	-0.23495796
ACCS	ACCS	False	False	False	6.43750655070265	3	True	False	0.008206032506640095	-4.918933082982861	-1.2916733
ACD	ACD	False	False	False	37.4859970690895	3	True	False	0.04745585462733877	-4.121524391394823	-0.6767519
ACE	ACE	True	True	False	17.3885539848842	3	True	False	0.017441028004510424	-3.303258156900999	-0.04574629
ACE2	ACE2	True	True	True	6.08722183560966	3	True	False	0.00921389675748239	-2.8703536975023525	0.2880878
ACER3	ACER3	False	False	False	47.8271071843812	3	True	False	0.04001096642577814	-3.132986808110982	0.085558385
ACHE	ACHE	False	False	False	10.7441506210968	3	True	True	0.020814214132642887	-1.3801613396986692	1.437249
ACIN1	ACIN1	False	False	False	64.7303394380984	3	True	False	0.08532026877260011	-3.0885908547513083	0.1197943
ACKR3	ACKR3	True	True	True	3.98510199498245	3	True	False	0.001947919636923268	-3.679850935484816	-0.33615565
ACKR4	ACKR4	True	False	True	5.15897929711806	3	True	False	0.0022391269623657697	-4.259492925552245	-0.7831463
ACLY	ACLY	False	False	False	43.9540338518196	3	True	True	0.06624095859626127	-2.58778040385535	0.5059941
ACN9	ACN9	False	False	False	74.3363123709255	3	True	True	0.09296117887149012	-1.9899778216586272	0.9669892
ACO1	ACO1	False	False	False	35.8314919037496	3	True	False	0.04223906233431955	-2.6727662992301946	0.44045722
ACO2	ACO2	False	False	False	143.320460217318	3	True	True	0.18642343764917985	-1.7114932439293622	1.1817425
ACOT11	ACOT11	False	False	False	26.9119626999783	3	True	True	0.04089811396299729	-2.3672271895040002	0.67607355
ACOT13	ACOT13	False	False	False	119.408311275636	3	True	True	0.1436062356103827	-1.8520938200193677	1.0733185
ACOT2	ACOT2	False	False	False	19.0272530446862	3	True	False	0.005960001198170026	-3.1222984447847275	0.09380071
ACOT4	ACOT4	False	False	False	11.5628871954436	3	True	False	0.011065128539595967	-2.763541627130555	0.37045586
